Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[Seed Source]	Characteristics[stratification exposure]	Unit	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Factor Value[Ionizing Radiation]	Term Source REF	Term Accession Number	Factor Value[Time of Sample Collection After Treatment]	Unit	Term Source REF	Term Accession Number	Factor Value[Genotype]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[growth environment]	Term Source REF	Term Accession Number	Parameter Value[Hardware]	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Protocol REF	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation energy]	Unit	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
gIR_vs_mock_DREMmodel_sog1-1_rep2_20min_+y	GSM3072327	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	20	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	half Murashige and Skoog media with 0.6% plant agar	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
gIR_vs_mock_DREMmodel_sog1-1_rep1_1h30min_+y	GSM3072328	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	half Murashige and Skoog media with 0.6% plant agar	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
gIR_vs_mock_DREMmodel_sog1-1_rep2_1h30min_+y	GSM3072329	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	half Murashige and Skoog media with 0.6% plant agar	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
gIR_vs_mock_DREMmodel_sog1-1_rep1_3h_+y	GSM3072330	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	180	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	half Murashige and Skoog media with 0.6% plant agar	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
gIR_vs_mock_DREMmodel_sog1-1_rep2_3h_+y	GSM3072331	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	180	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	half Murashige and Skoog media with 0.6% plant agar	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
gIR_vs_mock_DREMmodel_sog1-1_rep1_6h_+y	GSM3072332	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	360	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	half Murashige and Skoog media with 0.6% plant agar	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
gIR_vs_mock_DREMmodel_sog1-1_rep2_6h_+y	GSM3072333	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	360	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	half Murashige and Skoog media with 0.6% plant agar	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
gIR_vs_mock_DREMmodel_sog1-1_rep1_12h_+y	GSM3072334	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	720	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	half Murashige and Skoog media with 0.6% plant agar	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
gIR_vs_mock_DREMmodel_sog1-1_rep2_12h_+y	GSM3072335	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	720	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	half Murashige and Skoog media with 0.6% plant agar	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
gIR_vs_mock_DREMmodel_sog1-1_rep1_24h_+y	GSM3072336	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	1440	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	half Murashige and Skoog media with 0.6% plant agar	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
gIR_vs_mock_DREMmodel_sog1-1_rep2_24h_+y	GSM3072337	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	1440	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	half Murashige and Skoog media with 0.6% plant agar	irradiation protocol	100	gray	UO	http://purl.obolibrary.org/obo/UO_0000134	10	gray per minute	UO	http://purl.obolibrary.org/obo/UO_0010060	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
gIR_vs_mock_DREMmodel_sog1-1_rep1_20min_-y	GSM3072338	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	half Murashige and Skoog media with 0.6% plant agar	irradiation protocol		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	1.173:1.332	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
gIR_vs_mock_DREMmodel_sog1-1_rep2_20min_-y	GSM3072339	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	half Murashige and Skoog media with 0.6% plant agar	irradiation protocol		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
gIR_vs_mock_DREMmodel_sog1-1_rep1_1h30min_-y	GSM3072340	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	half Murashige and Skoog media with 0.6% plant agar	irradiation protocol		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
gIR_vs_mock_DREMmodel_sog1-1_rep2_1h30min_-y	GSM3072341	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	half Murashige and Skoog media with 0.6% plant agar	irradiation protocol		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660		Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
